Order ID,Order Date,Customer ID,Product ID,Quantity,Customer Name,Email,Country,Size,Unit Price,Sales,Coffee Type Name,Roast Type Name,Loyalty Card,City,Postcode,Country_cust,Email_cust,Loyalty Card_cust,Phone Number,Coffee Type,Size_prod,Unit Price_prod,Profit
QEV-37451-860,2019-09-05,17670-51384-MA,R-M-1,2,Aloisia Allner,aallner0@lulu.com,United States,1.0,9.95,19.9,Robusta,Medium,Yes,Paterson,7505,United States,aallner0@lulu.com,Yes,+1 (862) 817-0124,Rob,1.0,9.95,0.597
QEV-37451-860,2019-09-05,17670-51384-MA,E-M-0.5,5,Aloisia Allner,aallner0@lulu.com,United States,0.5,8.25,41.25,Excelsa,Medium,Yes,Paterson,7505,United States,aallner0@lulu.com,Yes,+1 (862) 817-0124,Exc,0.5,8.25,0.9075
FAA-43335-268,2021-06-17,21125-22134-PX,A-L-1,1,Jami Redholes,jredholes2@tmall.com,United States,1.0,12.95,12.95,Arabica,Large,Yes,San Antonio,78205,United States,jredholes2@tmall.com,Yes,+1 (210) 986-6806,Ara,1.0,12.95,1.1655
IPP-31994-879,2022-01-21,65223-29612-CB,E-D-0.5,3,Shaylynn Lobe,slobe6@nifty.com,United States,0.5,7.29,21.87,Excelsa,Dark,Yes,Dayton,45440,United States,slobe6@nifty.com,Yes,+1 (937) 954-4541,Exc,0.5,7.29,0.8019000000000001
EZT-46571-659,2019-01-02,03396-68805-ZC,R-M-0.5,3,Guthrey Petracci,gpetracci8@livejournal.com,United States,0.5,5.97,17.91,Robusta,Medium,No,Los Angeles,90045,United States,gpetracci8@livejournal.com,No,+1 (310) 868-1842,Rob,0.5,5.97,0.35819999999999996
NWQ-70061-912,2019-09-05,61021-27840-ZN,R-M-0.5,1,Rodger Raven,rraven9@ed.gov,United States,0.5,5.97,5.97,Robusta,Medium,No,Los Angeles,90065,United States,rraven9@ed.gov,No,+1 (213) 263-0288,Rob,0.5,5.97,0.35819999999999996
BKK-47233-845,2021-03-08,76239-90137-UQ,A-D-1,4,Ferrell Ferber,fferbera@businesswire.com,United States,1.0,9.95,39.8,Arabica,Dark,No,San Jose,95160,United States,fferbera@businesswire.com,No,+1 (408) 383-5302,Ara,1.0,9.95,0.8954999999999999
VQR-01002-970,2020-10-28,49315-21985-BB,E-L-2.5,5,Duky Phizackerly,dphizackerlyb@utexas.edu,United States,2.5,34.154999999999994,170.77499999999998,Excelsa,Large,Yes,San Jose,95194,United States,dphizackerlyb@utexas.edu,Yes,+1 (408) 533-6012,Exc,2.5,34.154999999999994,3.7570499999999996
SZW-48378-399,2022-07-02,34136-36674-OM,R-M-1,5,Rosaleen Scholar,rscholarc@nyu.edu,United States,1.0,9.95,49.75,Robusta,Medium,No,Richmond,23285,United States,rscholarc@nyu.edu,No,+1 (804) 420-0420,Rob,1.0,9.95,0.597
ITA-87418-783,2020-05-22,39396-12890-PE,R-D-2.5,2,Terence Vanyutin,tvanyutind@wix.com,United States,2.5,20.584999999999997,41.169999999999995,Robusta,Dark,No,Migrate,41905,United States,tvanyutind@wix.com,No,,Rob,2.5,20.584999999999997,1.2350999999999999
GNZ-46006-527,2022-04-05,95875-73336-RG,L-D-0.2,3,Patrice Trobe,ptrobee@wunderground.com,United States,0.2,3.885,11.655,Libriac,Dark,Yes,Saint Louis,63131,United States,ptrobee@wunderground.com,Yes,+1 (314) 240-7896,Lib,0.2,3.885,0.50505
FYQ-78248-319,2022-06-07,25473-43727-BY,R-M-2.5,5,Llywellyn Oscroft,loscroftf@ebay.co.uk,United States,2.5,22.884999999999998,114.42499999999998,Robusta,Medium,No,Philadelphia,19172,United States,loscroftf@ebay.co.uk,No,,Rob,2.5,22.884999999999998,1.3730999999999998
VAU-44387-624,2019-03-20,99643-51048-IQ,A-M-0.2,6,Minni Alabaster,malabasterg@hexun.com,United States,0.2,3.375,20.25,Arabica,Medium,No,Portland,97271,United States,malabasterg@hexun.com,No,+1 (971) 483-6255,Ara,0.2,3.375,0.30374999999999996
